SDS 2.3	Clipped	1.0
Well Nb	Reporter	Rn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	Delta Rn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
19	jimmy161209		1.9648489	1.9582839	1.9683534	1.9679638	1.9718941	1.9689432	1.9663874	1.9721761	1.9606396	1.969832	1.9660116	1.9615188	1.9639286	1.9645339	1.9611071	1.9677159	1.959169	1.9587978	1.9623209	1.9605832	1.9636956	1.9641412	1.9631991	1.9602417	1.9597572	1.9597044	1.9583235	1.9710602	1.9627515	1.9618807	1.9659463	1.9654918	1.9774734	1.986313	1.9994673	2.0415306	2.1001062	2.2115576	2.3826315	2.6472461	2.9698527	3.294906	3.592336	3.848441	4.0742316		6.905934E-4	-0.005933056	0.004077758	0.0036295073	0.0075011626	0.004491581	0.0018770588	0.007607068	-0.0039880862	0.005145586	0.0012666113	-0.0032849426	-9.3380176E-4	-3.8713196E-4	-0.0038725971	0.0026774525	-0.0059280517	-0.0063579446	-0.002893508	-0.004689897	-0.0016361363	-0.001249207	-0.002249993	-0.0052661314	-0.0058092726	-0.0059207575	-0.0073603527	0.0053176503	-0.0030496735	-0.0039791726	2.778546E-5	-4.8543452E-4	0.011437497	0.02021843	0.033314023	0.0753187	0.13383566	0.24522837	0.4162436	0.68079954	1.0033474	1.328342	1.6257133	1.8817595	2.1074917	
21	jimmy161209		1.988781	1.9931827	1.9976076	1.9958216	1.9915527	2.0048919	1.9860808	1.9903316	1.984129	1.9910822	1.986321	1.9918305	1.9838976	1.9811376	1.9936533	1.9909073	1.988573	1.9921702	1.9931368	1.9946514	1.9944943	1.9938278	1.9854017	1.9972043	1.9967426	1.98781	1.9934415	1.990366	1.9990286	1.9962034	1.9954225	1.99619	1.9976505	1.9974808	2.0013514	1.9906335	1.9931993	1.9968991	2.0125258	2.005254	2.0048444	2.000746	2.0091133	2.0049264	2.0095482		0.0013218328	0.0053870906	0.009475594	0.0073531745	0.0027478638	0.0157506	-0.0033969332	5.1752484E-4	-0.006021599	5.952144E-4	-0.0045024306	6.7063904E-4	-0.0075986884	-0.010695048	0.0014841901	-0.001598222	-0.0042690043	-0.0010081708	-3.7804796E-4	8.001992E-4	3.066553E-4	-6.9626985E-4	-0.009458766	0.002007362	0.0012092383	-0.008059778	-0.0027647575	-0.006176664	0.0021494913	-0.0010120756	-0.0021294418	-0.0016983984	-5.742722E-4	-0.0010804522	0.002453728	-0.008600567	-0.006371132	-0.0030077787	0.012282465	0.0046742717	0.0039282423	-5.065991E-4	0.0075242748	0.0030009802	0.007286298	
23	jimmy161209		1.9672095	1.9707966	1.974811	1.9670515	1.9659591	1.9717983	1.9650737	1.9682859	1.9676038	1.9595084	1.9722899	1.9671249	1.9700073	1.9672842	1.9555141	1.9706973	1.9783427	1.9727491	1.9635482	1.9750699	1.9699348	1.9726013	1.9711691	1.9704647	1.9692626	1.9719819	1.9705415	1.9739566	1.9700402	1.968594	1.9726028	1.9699497	1.9657898	1.9751816	1.9774016	1.9808197	1.9818716	1.9845786	1.9764117	1.9852104	1.9802834	1.9823109	1.9884157	1.9822544	1.9850465		0.0029996808	0.0062080594	0.009843684	0.0017054839	2.3430174E-4	0.0056947824	-0.0014085621	0.0014249033	3.6403953E-4	-0.008110092	0.0042926604	-0.0012510688	0.0012525445	-0.0018493015	-0.013998179	8.0628326E-4	0.008072903	0.0021006172	-0.007479062	0.0036638873	-0.0018499204	4.3780485E-4	-0.0013731237	-0.0024562797	-0.0040371343	-0.0016965994	-0.0035157534	-4.7939387E-4	-0.004774525	-0.0065995203	-0.002969379	-0.0060012494	-0.010539925	-0.0015268883	3.1439803E-4	0.0033537378	0.0040268926	0.0063551487	-0.0021905086	0.0062294616	9.2367426E-4	0.0025724377	0.008298516	0.0017584361	0.004171808	
49	jimmy161209		1.9750754	1.9803737	1.9787792	1.9702367	1.9739428	1.9806176	1.977354	1.9757413	1.96453	1.9774774	1.9715977	1.96909	1.9698321	1.9743329	1.9828758	1.9844347	1.9807572	1.9991332	2.006634	2.0392656	2.0744998	2.1776874	2.3343246	2.5612636	2.823878	3.1141644	3.4283905	3.686412	3.9474716	4.0950704	4.236264	4.327574	4.405843	4.493437	4.559291	4.566332	4.607844	4.603634	4.6597743	4.6527452	4.6625576	4.668443	4.6727815	4.693987	4.700958		0.0059330286	0.010218666	0.007611383	-0.0019438933	7.494654E-4	0.006411612	0.0021352808	-4.902407E-4	-0.012714256	-7.795544E-4	-0.0076720533	-0.011192478	-0.011463139	-0.007975013	-4.4485618E-4	1.0130481E-4	-0.0045889216	0.012774332	0.01926236	0.05088126	0.08510273	0.18727756	0.342902	0.5688282	0.83043	1.1197035	1.432917	1.6899258	1.9499726	2.0965586	2.2367396	2.3270366	2.4042928	2.490874	2.5557153	2.5617437	2.602243	2.5970201	2.652148	2.6441061	2.6529057	2.6577785	2.6611042	2.6812968	2.687255	
51	jimmy161209		1.9619566	1.9530417	1.9731613	1.9646157	1.9668466	1.9666349	1.9610447	1.9719785	1.9708523	1.9675149	1.9670234	1.9670736	1.9584975	1.9712728	1.9657044	1.965229	1.977903	1.9850246	1.9884659	2.0234559	2.0595655	2.1534436	2.2819107	2.477258	2.7681656	3.074072	3.3695743	3.6390963	3.879773	4.077025	4.232137	4.3228745	4.421046	4.503694	4.5303445	4.567057	4.5736694	4.6357694	4.608955	4.657453	4.703008	4.6709824	4.679279	4.689913	4.7141185		0.0019737373	-0.007889707	0.011281464	0.0017873308	0.0030697172	0.0019095052	-0.0046291915	0.0053561884	0.0032814026	-0.0010044769	-0.002444473	-0.0033427821	-0.012867314	-0.0010405084	-0.00755739	-0.008981293	0.002744185	0.008917252	0.011410089	0.045451544	0.080612734	0.17354228	0.30106086	0.49545968	0.7854188	1.0903766	1.3849305	1.653504	1.8932321	2.0895357	2.2436996	2.3334882	2.430711	2.5124109	2.5381126	2.5738769	2.5795407	2.6406922	2.612929	2.6604788	2.7050855	2.672111	2.679459	2.6891446	2.7124019	
53	jimmy161209		1.9598747	1.9586806	1.9602485	1.9538898	1.958659	1.9704844	1.9657117	1.9545876	1.9538699	1.9588742	1.9656124	1.9597763	1.9566177	1.9687386	1.9429599	1.9617796	1.9668074	1.9619995	1.9952666	2.023266	2.073498	2.1659143	2.325239	2.5544367	2.84012	3.1403062	3.4695597	3.699887	3.9319715	4.08528	4.2497725	4.333012	4.388922	4.508486	4.529474	4.567656	4.5879216	4.6300755	4.6360927	4.661943	4.627758	4.6329303	4.634297	4.6664863	4.6665015		5.593449E-4	-7.062472E-4	7.901206E-4	-0.0056399754	-9.422422E-4	0.010811608	0.005967472	-0.0052281343	-0.0060172467	-0.0010844329	0.0055822805	-3.2532157E-4	-0.0035553635	0.0084940065	-0.017356118	0.0013920998	0.006348398	0.0014690956	0.034664646	0.06259269	0.11275315	0.20509797	0.36435115	0.5934774	0.87908936	1.179204	1.508386	1.7386419	1.970655	2.1238918	2.288313	2.371481	2.4273198	2.5468118	2.5677283	2.605839	2.6260333	2.6681156	2.6740613	2.69984	2.6655836	2.6706846	2.6719797	2.7040975	2.7040412	
55	jimmy161209		1.9707042	1.979324	1.9877225	1.9735495	1.9870238	1.985817	1.9728843	1.9760793	1.9695597	1.9718733	1.9837018	1.9848856	1.9746758	1.9798063	1.9770104	1.9814397	1.9727839	1.9800345	1.9699602	1.981392	1.9716601	1.9701172	1.9668888	1.9866141	1.9752954	1.9782821	1.9739866	1.9699774	1.9837503	1.9744161	1.977131	1.9831334	1.9746122	1.9728292	1.9883083	1.9752613	1.9885823	1.9727176	1.9859825	1.9779996	1.9847301	1.9797577	1.9791228	1.9856142	1.9789282		-0.0065275603	0.002044725	0.010395758	-0.0038247728	0.009602073	0.008347698	-0.0046324604	-0.0014849129	-0.008052088	-0.005785974	0.005995068	0.0071313162	-0.0031259826	0.0019570468	-8.863878E-4	0.0034954527	-0.005207834	0.0019952138	-0.008126544	0.0032577692	-0.0065216194	-0.008112045	-0.011387971	0.008289851	-0.003076332	-1.3716222E-4	-0.0044801305	-0.008536877	0.005188587	-0.0041931192	-0.0015257468	0.0044291797	-0.0041395198	-0.005970033	0.009461555	-0.0036329248	0.009640498	-0.0062716124	0.006945782	-0.0010846871	0.0055983695	5.784116E-4	-1.0399695E-4	0.006339926	-3.9354636E-4	
57	jimmy161209		1.9605651	1.9663258	1.9763309	1.9654976	1.9585972	1.9671755	1.9674544	1.9604458	1.9586649	1.962025	1.9703126	1.9650922	1.9590111	1.9608535	1.9528726	1.9669901	1.962835	1.9639101	1.9573045	1.9679838	1.9678389	1.9590756	1.960886	1.9685422	1.9659563	1.9749384	1.9685816	1.965294	1.9652327	1.9639249	1.9704102	1.962565	1.9670877	1.9687027	1.9849819	2.0023944	2.0262764	2.0886471	2.1983612	2.3865948	2.647948	2.9730098	3.2745676	3.5885766	3.8745048		-0.0029757349	0.0027102977	0.012640777	0.0017328766	-0.0052421903	0.003261473	0.0034657856	-0.0036175232	-0.005473028	-0.0021875128	0.006025399	7.303488E-4	-0.0054253927	-0.0036576502	-0.011713111	0.0023297314	-0.0019000648	-8.995533E-4	-0.0075798156	0.0030249115	0.002805316	-0.0060326345	-0.00429684	0.0032847393	6.2421424E-4	0.0095316395	0.003100167	-2.6202394E-4	-3.9793464E-4	-0.0017804169	0.004630289	-0.0032896306	0.0011585326	0.0026988238	0.018903406	0.03624131	0.060048588	0.122344725	0.23198412	0.4201431	0.6814217	1.0064089	1.307892	1.6218263	1.9076799	
59	jimmy161209		1.9476084	1.9721475	1.9805126	1.9797258	1.9678749	1.9738039	1.9689916	1.9724294	1.967165	1.9600668	1.9634027	1.977304	1.9666871	1.9731501	1.9776942	1.9691123	1.9636673	1.9654679	1.9655333	1.9643049	1.965118	1.9710579	1.967001	1.9581591	1.9555022	1.9716643	1.9727436	1.9685001	1.9727813	1.9563513	1.9742961	1.9683012	1.9708735	1.9694265	1.9671832	1.978015	1.9749583	1.9682503	1.9683923	1.9724525	1.960955	1.9711994	1.972413	1.9664272	1.9740757		-0.022504244	0.0020750866	0.010480458	0.009733894	-0.0020768417	0.0038923689	-8.7965454E-4	0.0025983201	-0.002625864	-0.009683845	-0.0063076746	0.0076337764	-0.0029429048	0.0035603633	0.0081446	-3.970593E-4	-0.0058018453	-0.0039609717	-0.003855428	-0.0050435434	-0.0041901995	0.0017898591	-0.0022268542	-0.011028509	-0.013645228	0.002557146	0.003676684	-5.265917E-4	0.0037947888	-0.012595015	0.005390016	-5.6468294E-4	0.0020478324	6.410873E-4	-0.0015619758	0.009309955	0.006293527	-3.7428163E-4	-1.9208611E-4	0.0039083995	-0.0075488808	0.002735706	0.003989474	-0.0019560456	0.0057326397	
61	jimmy161209		1.9642576	1.9613358	1.9707879	1.9661657	1.9777244	1.9756628	1.9613925	1.9761754	1.970801	1.9765009	1.966968	1.9714622	1.964904	1.9759201	1.9675637	1.965366	1.9748088	1.9736137	1.9707152	1.9764471	1.9760466	1.9686409	1.9761592	1.9723288	1.9664598	1.9691367	1.9709978	1.967934	1.971684	1.9821008	1.9848653	1.9898295	2.0097558	2.0440047	2.1058834	2.2088802	2.3841922	2.6653252	2.9624193	3.2808669	3.5944831	3.8169737	4.0319324	4.191483	4.315554		-0.0032123127	-0.006434398	0.0027174419	-0.0022050443	0.009053461	0.006691591	-0.00787898	0.0066036605	9.2896377E-4	0.0063285716	-0.0035045028	6.894222E-4	-0.006169142	0.0045467233	-0.004109875	-0.006607882	0.0025346586	0.0010393204	-0.0021595187	0.0032721565	0.002571348	-0.005134556	0.0020834703	-0.0020472277	-0.008216524	-0.005839825	-0.0042789946	-0.007643058	-0.0041933567	0.0059232437	0.008387442	0.013051409	0.032677453	0.06662602	0.12820444	0.23090099	0.40591276	0.68674546	0.9835393	1.3016866	1.6150026	1.8371929	2.0518513	2.2111018	2.3348725	
