SDS 2.3	Background Spectra	1.0
Well Nb	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
30	826.0714	850.9286	863.8571	880.7143	876.4286	888.2857	902.8571	917.0	925.7857	942.5714	935.5714	942.0	942.8571	940.5714	934.5714	927.1429	923.2143	921.6429	916.8571	916.8571	912.1429	912.1429	902.3571	900.4286	902.3571	902.0	899.2857	894.8571	892.4286	888.7857	892.5	888.5
31	822.4286	851.6429	864.6429	882.5	878.7143	894.1429	905.5714	916.0	925.5714	937.3571	942.7857	936.2143	937.7857	936.2143	929.0	930.9286	928.4286	916.9286	916.2857	918.7143	911.6429	907.2143	901.2857	901.7857	901.5	899.1429	899.1429	893.2857	897.9286	891.3571	889.0714	883.8571
32	822.7857	853.7143	868.4286	887.7143	880.7143	894.2143	908.7857	917.2143	926.7857	939.8571	940.2857	945.4286	942.4286	939.4286	939.2857	934.0714	927.2857	919.0714	917.5	918.3571	909.0	916.5714	910.2143	902.0714	903.7857	899.2143	898.2857	896.8571	896.0714	894.1429	888.6429	879.0
33	819.8571	851.0714	881.7857	889.0714	887.1429	888.5714	902.6429	912.5	928.0714	930.1429	938.8571	940.2143	941.4286	929.6429	932.2143	930.1429	924.3571	913.3571	911.9286	909.7857	911.2857	910.2143	907.1429	900.7857	901.4286	902.0714	896.0714	895.4286	894.2857	892.9286	886.0714	884.9286
34	818.7857	847.5	867.5	880.4286	876.9286	891.6429	903.4286	915.2857	924.5714	931.0	939.3571	942.0	939.3571	937.2143	933.6429	927.8571	923.7143	923.7143	912.8571	917.2143	909.9286	906.4286	898.7857	900.8571	902.2857	898.4286	891.5714	898.0	895.3571	892.2857	888.1429	881.2143
35	822.5714	847.4286	869.4286	881.1429	878.7857	885.6429	902.2857	912.9286	926.5714	933.7857	935.5	938.2857	935.3571	933.0	934.6429	930.3571	921.0714	916.7857	914.7143	914.7857	907.0	901.9286	905.4286	903.2857	900.5	900.2143	893.0	892.7143	896.0714	890.0714	889.6429	880.5
36	817.0	846.3571	870.3571	883.2857	883.4286	897.6429	908.2857	918.5	928.9286	939.3571	945.7857	944.0	949.0	943.0	935.5714	931.3571	929.9286	921.0714	917.3571	919.1429	914.5	913.5	909.7857	905.7143	902.3571	903.5	899.6429	898.0	895.0714	895.8571	894.6429	881.5714
37	823.8571	853.5	872.2857	887.7857	881.6429	896.2857	904.7143	919.9286	924.2857	940.5714	943.3571	945.7857	947.5	939.5714	934.0714	935.2857	929.0714	921.1429	923.5714	920.7143	913.9286	909.4286	907.4286	898.8571	905.6429	900.6429	900.7857	896.0	895.8571	889.6429	893.5714	886.0
38	827.7857	859.0	879.3571	886.8571	882.9286	900.9286	910.1429	924.4286	929.9286	942.2143	949.0	949.9286	946.9286	943.3571	940.4286	940.4286	927.5	931.9286	924.7857	918.7857	923.4286	910.4286	915.7857	903.5714	903.5714	904.1429	902.5	903.6429	898.8571	896.9286	894.7143	897.5
39	819.2857	855.7857	883.9286	890.0	885.7143	892.0714	903.8571	920.9286	931.0	938.7857	949.0714	947.9286	949.8571	942.2143	938.5714	938.0	930.6429	922.5	917.8571	919.7143	911.7143	911.0	910.7143	906.8571	903.7857	904.4286	904.8571	899.5714	896.0	895.9286	891.0	882.2143
40	823.0714	857.4286	881.2143	885.8571	882.5	892.0714	904.0	919.8571	934.0714	940.2143	948.2143	950.7143	944.5	942.3571	943.4286	931.5	927.9286	923.7857	920.8571	918.5	914.1429	912.2857	912.0	903.5714	906.7143	905.2857	900.2857	905.7143	897.7857	894.9286	890.5	889.2143
41	826.2143	855.7857	884.9286	898.4286	886.4286	908.2143	923.6429	940.5714	951.1429	963.2143	975.0714	972.7143	968.2857	965.3571	959.9286	955.6429	943.3571	944.1429	935.3571	936.1429	934.3571	927.2857	922.7143	920.9286	916.8571	918.7857	915.0714	912.2143	911.7857	911.1429	903.0714	896.1429
42	824.3571	856.2857	874.0714	884.2857	888.0	907.3571	915.2857	936.5	940.0714	954.7857	956.7857	958.8571	957.6429	953.5714	956.6429	947.7143	939.4286	930.1429	930.4286	925.2143	925.3571	915.9286	916.1429	911.0714	909.7857	910.7857	909.8571	908.7857	903.3571	900.1429	898.6429	885.3571
43	825.3571	856.9286	875.7143	884.5	886.8571	895.7857	908.0	921.0	930.2857	945.2143	948.4286	948.1429	952.5714	942.1429	940.5714	933.0	929.2143	924.6429	924.5	919.9286	917.5	911.5714	915.0714	902.3571	895.1429	901.2857	903.7857	907.5714	899.5714	894.4286	889.7143	886.0714
44	825.3571	848.0714	877.0	894.3571	887.7143	896.4286	910.6429	925.7857	931.5	940.5714	951.2857	954.3571	945.6429	943.3571	942.2857	942.2143	937.2143	927.9286	925.4286	919.4286	920.2857	917.1429	908.7143	910.2143	909.0714	908.9286	901.0	904.0714	903.0714	894.9286	894.2143	891.2143
45	824.2143	847.2857	866.3571	882.5	885.8571	899.7143	906.7143	929.2857	930.0	945.2143	954.0714	953.0	953.7857	956.0714	945.1429	940.0714	936.5	926.5714	931.5714	923.0	922.7143	922.2143	918.1429	911.2857	911.1429	910.4286	906.0714	904.1429	902.2857	902.5714	896.2143	891.7143
46	820.2143	841.3571	875.3571	899.5714	892.2857	899.4286	914.0	923.0714	938.8571	945.6429	951.5	957.5	952.6429	950.5714	950.7857	940.1429	940.1429	923.7143	937.2857	927.1429	923.8571	922.5	915.2143	911.5714	912.2143	910.2857	909.9286	907.2143	904.1429	901.7143	900.8571	892.7857
47	826.5	849.0714	909.2143	941.2857	911.4286	908.6429	913.0714	937.2857	950.0	955.2143	966.5714	965.4286	963.7857	957.7143	960.5	952.6429	946.5714	936.5	940.6429	933.9286	936.1429	922.2143	929.0	920.3571	917.0714	916.5	914.5714	910.9286	909.8571	903.8571	900.2857	898.5714
48	824.3333	859.2	888.86664	910.06665	900.3333	905.3333	924.5333	937.2	952.0	960.26666	970.06665	973.73334	968.5333	967.13336	962.93335	952.73334	948.73334	945.6667	940.73334	937.0	932.06665	931.8	925.6	923.6	923.93335	916.06665	918.3333	918.6	917.6667	907.6	905.4667	906.0
49	824.0	833.8571	839.0	853.5714	859.7857	870.4286	877.0	886.5714	890.2857	897.0714	902.2143	903.2143	905.2857	903.0	900.5714	901.3571	894.5	892.6429	892.0714	882.2143	887.2143	887.5714	882.7857	880.4286	875.5714	878.3571	876.9286	880.2143	872.7143	873.7143	868.7857	868.2857
50	825.9286	832.2857	852.0	856.0	860.5714	869.4286	873.3571	888.1429	891.9286	897.0714	899.7143	905.5	905.1429	897.9286	902.4286	896.1429	895.7143	892.2857	885.9286	888.7143	881.3571	882.7857	879.7857	879.2143	877.0714	878.6429	874.5714	875.0714	872.7143	880.5714	872.5	873.1429
