"template_type","template_name","template_conc","template_rep","plate_row","plate_col","plate_well"
NA,NA,NA,NA,"D",14,"D14"
NA,NA,NA,NA,"E",14,"E14"
NA,NA,NA,NA,"F",14,"F14"
NA,NA,NA,NA,"G",14,"G14"
NA,NA,NA,NA,"H",14,"H14"
NA,NA,NA,NA,"I",14,"I14"
NA,NA,NA,NA,"J",14,"J14"
NA,NA,NA,NA,"K",14,"K14"
NA,NA,NA,NA,"L",14,"L14"
NA,NA,NA,NA,"M",14,"M14"
NA,NA,NA,NA,"N",14,"N14"
NA,NA,NA,NA,"O",14,"O14"
NA,NA,NA,NA,"P",14,"P14"
"sample","SKA091_0.1",0.1,3,"A",15,"A15"
NA,NA,NA,NA,"B",15,"B15"
"sample","SKA092_0.1",0.1,1,"C",15,"C15"
NA,NA,NA,NA,"D",15,"D15"
"sample","SKA093_0.1",0.1,2,"E",15,"E15"
NA,NA,NA,NA,"F",15,"F15"
"sample","SKA094_0.1",0.1,3,"G",15,"G15"
NA,NA,NA,NA,"H",15,"H15"
"sample","SKA091_0.01",0.01,1,"I",15,"I15"
NA,NA,NA,NA,"J",15,"J15"
"sample","SKA092_0.01",0.01,2,"K",15,"K15"
NA,NA,NA,NA,"L",15,"L15"
"sample","SKA093_0.01",0.01,3,"M",15,"M15"
NA,NA,NA,NA,"N",15,"N15"
"sample","SKA094_0.01",0.01,1,"O",15,"O15"
NA,NA,NA,NA,"P",15,"P15"
NA,NA,NA,NA,"A",16,"A16"
NA,NA,NA,NA,"B",16,"B16"
NA,NA,NA,NA,"C",16,"C16"
NA,NA,NA,NA,"D",16,"D16"
NA,NA,NA,NA,"E",16,"E16"
NA,NA,NA,NA,"F",16,"F16"
NA,NA,NA,NA,"G",16,"G16"
NA,NA,NA,NA,"H",16,"H16"
NA,NA,NA,NA,"I",16,"I16"
NA,NA,NA,NA,"J",16,"J16"
NA,NA,NA,NA,"K",16,"K16"
NA,NA,NA,NA,"L",16,"L16"
NA,NA,NA,NA,"M",16,"M16"
NA,NA,NA,NA,"N",16,"N16"
NA,NA,NA,NA,"O",16,"O16"
NA,NA,NA,NA,"P",16,"P16"
"sample","SKA091_0.1",0.01,2,"A",17,"A17"
NA,NA,NA,NA,"B",17,"B17"
"sample","SKA092_0.1",0.01,3,"C",17,"C17"
NA,NA,NA,NA,"D",17,"D17"
"sample","SKA093_0.1",0.01,1,"E",17,"E17"
NA,NA,NA,NA,"F",17,"F17"
"sample","SKA094_0.1",0.01,2,"G",17,"G17"
NA,NA,NA,NA,"H",17,"H17"
"sample","SKA091_0.01",0.01,3,"I",17,"I17"
NA,NA,NA,NA,"J",17,"J17"
"sample","SKA092_0.01",0.01,1,"K",17,"K17"
NA,NA,NA,NA,"L",17,"L17"
"sample","SKA093_0.01",0.01,2,"M",17,"M17"
NA,NA,NA,NA,"N",17,"N17"
"sample","SKA094_0.01",0.01,3,"O",17,"O17"
NA,NA,NA,NA,"P",17,"P17"
NA,NA,NA,NA,"A",18,"A18"
NA,NA,NA,NA,"B",18,"B18"
NA,NA,NA,NA,"C",18,"C18"
NA,NA,NA,NA,"D",18,"D18"
NA,NA,NA,NA,"E",18,"E18"
NA,NA,NA,NA,"F",18,"F18"
NA,NA,NA,NA,"G",18,"G18"
NA,NA,NA,NA,"H",18,"H18"
NA,NA,NA,NA,"I",18,"I18"
NA,NA,NA,NA,"J",18,"J18"
NA,NA,NA,NA,"K",18,"K18"
NA,NA,NA,NA,"L",18,"L18"
NA,NA,NA,NA,"M",18,"M18"
NA,NA,NA,NA,"N",18,"N18"
NA,NA,NA,NA,"O",18,"O18"
NA,NA,NA,NA,"P",18,"P18"
"sample","SKA113_0.1",0.01,1,"A",19,"A19"
NA,NA,NA,NA,"B",19,"B19"
"sample","SKA114_0.1",0.01,2,"C",19,"C19"
NA,NA,NA,NA,"D",19,"D19"
"sample","SKA115_0.1",0.01,3,"E",19,"E19"
NA,NA,NA,NA,"F",19,"F19"
"sample","SKA118_0.1",0.01,1,"G",19,"G19"
NA,NA,NA,NA,"H",19,"H19"
"sample","SKA113_0.01",0.01,2,"I",19,"I19"
NA,NA,NA,NA,"J",19,"J19"
"sample","SKA114_0.01",0.01,3,"K",19,"K19"
NA,NA,NA,NA,"L",19,"L19"
"sample","SKA115_0.01",0.01,1,"M",19,"M19"
NA,NA,NA,NA,"N",19,"N19"
"sample","SKA118_0.01",0.01,2,"O",19,"O19"
NA,NA,NA,NA,"P",19,"P19"
NA,NA,NA,NA,"A",20,"A20"
NA,NA,NA,NA,"B",20,"B20"
NA,NA,NA,NA,"C",20,"C20"
NA,NA,NA,NA,"D",20,"D20"
NA,NA,NA,NA,"E",20,"E20"
NA,NA,NA,NA,"F",20,"F20"
NA,NA,NA,NA,"G",20,"G20"
NA,NA,NA,NA,"H",20,"H20"
NA,NA,NA,NA,"I",20,"I20"
NA,NA,NA,NA,"J",20,"J20"
NA,NA,NA,NA,"K",20,"K20"
NA,NA,NA,NA,"L",20,"L20"
NA,NA,NA,NA,"M",20,"M20"
NA,NA,NA,NA,"N",20,"N20"
NA,NA,NA,NA,"O",20,"O20"
NA,NA,NA,NA,"P",20,"P20"
"sample","SKA113_0.1",0.01,3,"A",21,"A21"
NA,NA,NA,NA,"B",21,"B21"
"sample","SKA114_0.1",0.01,1,"C",21,"C21"
NA,NA,NA,NA,"D",21,"D21"
"sample","SKA115_0.1",0.01,2,"E",21,"E21"
NA,NA,NA,NA,"F",21,"F21"
"sample","SKA118_0.1",0.01,3,"G",21,"G21"
NA,NA,NA,NA,"H",21,"H21"
"sample","SKA113_0.01",0.01,1,"I",21,"I21"
NA,NA,NA,NA,"J",21,"J21"
"sample","SKA114_0.01",0.01,2,"K",21,"K21"
NA,NA,NA,NA,"L",21,"L21"
"sample","SKA115_0.01",0.01,3,"M",21,"M21"
NA,NA,NA,NA,"N",21,"N21"
"sample","SKA118_0.01",0.01,1,"O",21,"O21"
NA,NA,NA,NA,"P",21,"P21"
NA,NA,NA,NA,"A",22,"A22"
NA,NA,NA,NA,"B",22,"B22"
NA,NA,NA,NA,"C",22,"C22"
NA,NA,NA,NA,"D",22,"D22"
NA,NA,NA,NA,"E",22,"E22"
NA,NA,NA,NA,"F",22,"F22"
NA,NA,NA,NA,"G",22,"G22"
NA,NA,NA,NA,"H",22,"H22"
NA,NA,NA,NA,"I",22,"I22"
NA,NA,NA,NA,"J",22,"J22"
NA,NA,NA,NA,"K",22,"K22"
NA,NA,NA,NA,"L",22,"L22"
NA,NA,NA,NA,"M",22,"M22"
NA,NA,NA,NA,"N",22,"N22"
NA,NA,NA,NA,"O",22,"O22"
NA,NA,NA,NA,"P",22,"P22"
"sample","SKA113_0.1",0.01,2,"A",23,"A23"
NA,NA,NA,NA,"B",23,"B23"
"sample","SKA114_0.1",0.01,3,"C",23,"C23"
NA,NA,NA,NA,"D",23,"D23"
"sample","SKA115_0.1",0.01,1,"E",23,"E23"
NA,NA,NA,NA,"F",23,"F23"
"sample","SKA118_0.1",0.01,2,"G",23,"G23"
NA,NA,NA,NA,"H",23,"H23"
"sample","SKA113_0.01",0.01,3,"I",23,"I23"
NA,NA,NA,NA,"J",23,"J23"
"sample","SKA114_0.01",0.01,1,"K",23,"K23"
NA,NA,NA,NA,"L",23,"L23"
"sample","SKA115_0.01",0.01,2,"M",23,"M23"
NA,NA,NA,NA,"N",23,"N23"
"sample","SKA118_0.01",0.01,3,"O",23,"O23"
NA,NA,NA,NA,"P",23,"P23"
NA,NA,NA,NA,"A",24,"A24"
NA,NA,NA,NA,"B",24,"B24"
NA,NA,NA,NA,"C",24,"C24"
NA,NA,NA,NA,"D",24,"D24"
NA,NA,NA,NA,"E",24,"E24"
NA,NA,NA,NA,"F",24,"F24"
NA,NA,NA,NA,"G",24,"G24"
NA,NA,NA,NA,"H",24,"H24"
NA,NA,NA,NA,"I",24,"I24"
NA,NA,NA,NA,"J",24,"J24"
NA,NA,NA,NA,"K",24,"K24"
NA,NA,NA,NA,"L",24,"L24"
NA,NA,NA,NA,"M",24,"M24"
NA,NA,NA,NA,"N",24,"N24"
NA,NA,NA,NA,"O",24,"O24"
NA,NA,NA,NA,"P",24,"P24"
