SDS 2.3	Absolute QuantificationResults	1.0
Filename	CKCO3-161209
PlateID	
Assay Type	Absolute Quantification
Run DateTime	12/9/16 7:24:21 PM
Operator	
ThermalCycleParams	

Sample Information

Position	Flag	Sample	Detector	Task	Ct	Ct Median	Quantity	Qty mean	Qty stddev	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
E16	Flagged	E16	jimmy161209	Unknown	42.2161		7.765393E-8						true		true							
E17	Passed	E17	jimmy161209	Unknown	30.207315		8.654862E-5															
E18	Flagged	E18	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
E19	Flagged	E19	jimmy161209	Unknown	Undetermined		0.0								true			true				
E20	Flagged	E20	jimmy161209	Unknown	24.231949		0.0028408219						true		true							
E21	Passed	E21	jimmy161209	Unknown	33.56527		1.2167925E-5															
E22	Flagged	E22	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
E23	Passed	E23	jimmy161209	Unknown	32.40714		2.393753E-5															
E24	Flagged	E24	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
F1	Flagged	F1	jimmy161209	Unknown	Undetermined		0.0						true					true				
F2	Flagged	F2	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
F3	Flagged	F3	jimmy161209	Unknown	28.395658		2.494298E-4						true									
F4	Flagged	F4	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
F5	Flagged	F5	jimmy161209	Unknown	Undetermined		0.0						true					true				
F6	Flagged	F6	jimmy161209	Unknown	13.664418		1.3640774						true		true							
F7	Flagged	F7	jimmy161209	Unknown	10.80976		7.230648						true									
F8	Flagged	F8	jimmy161209	Unknown	41.58081		1.1255391E-7						true		true							
F9	Flagged	F9	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
F10	Flagged	F10	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
F11	Flagged	F11	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
F12	Flagged	F12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
F13	Flagged	F13	jimmy161209	Unknown	31.598886		3.838523E-5						true									
F14	Flagged	F14	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
F15	Flagged	F15	jimmy161209	Unknown	32.69994		2.0173642E-5						true									
F16	Flagged	F16	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
F17	Flagged	F17	jimmy161209	Unknown	32.510357		2.2536635E-5						true									
F18	Flagged	F18	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
F19	Flagged	F19	jimmy161209	Unknown	9.07824		19.885267						true		true							
F20	Flagged	F20	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
F21	Flagged	F21	jimmy161209	Unknown	Undetermined		0.0						true								true	
F22	Flagged	F22	jimmy161209	Unknown	Undetermined		0.0						true		true							
F23	Flagged	F23	jimmy161209	Unknown	Undetermined		0.0						true					true				
F24	Flagged	F24	jimmy161209	Unknown	2.0610614		1199.6752						true		true							
G1	Passed	G1	jimmy161209	Standard	25.85727		0.0010															
G2	Flagged	G2	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
G3	Passed	G3	jimmy161209	Standard	26.123672		0.0010															
G4	Flagged	G4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
G5	Passed	G5	jimmy161209	Standard	25.694923		0.0010															
G6	Flagged	G6	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
G7	Passed	G7	jimmy161209	Unknown	32.97806		1.7148013E-5															
G8	Flagged	G8	jimmy161209	Unknown	41.322945		1.3085528E-7						true		true							
G9	Flagged	G9	jimmy161209	Unknown	Undetermined		0.0								true			true				
G10	Flagged	G10	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
G11	Flagged	G11	jimmy161209	Unknown	Undetermined		0.0								true			true				
G12	Flagged	G12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
G13	Passed	G13	jimmy161209	Unknown	28.530634		2.3051529E-4															
G14	Flagged	G14	jimmy161209	Unknown	29.081491		1.6708046E-4						true		true							
G15	Passed	G15	jimmy161209	Unknown	28.788492		1.982764E-4															
G16	Flagged	G16	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
G17	Passed	G17	jimmy161209	Unknown	27.897924		3.33613E-4															
G18	Flagged	G18	jimmy161209	Unknown	4.149537		354.10815						true		true							
G19	Flagged	G19	jimmy161209	Unknown	Undetermined		0.0								true			true				
G20	Flagged	G20	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
G21	Flagged	G21	jimmy161209	Unknown	Undetermined		0.0								true			true				
G22	Flagged	G22	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
G23	Flagged	G23	jimmy161209	Unknown	Undetermined		0.0								true			true				
G24	Flagged	G24	jimmy161209	Unknown	13.215625		1.7730274						true		true							
H1	Flagged	H1	jimmy161209	Unknown	31.56151		3.9232676E-5						true									
H2	Flagged	H2	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
H3	Flagged	H3	jimmy161209	Unknown	Undetermined		0.0						true								true	
H4	Flagged	H4	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
H5	Flagged	H5	jimmy161209	Unknown	29.032911		1.718907E-4						true									
H6	Flagged	H6	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H7	Flagged	H7	jimmy161209	Unknown	36.065098		2.8243107E-6						true									
H8	Flagged	H8	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H9	Flagged	H9	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H10	Flagged	H10	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H11	Flagged	H11	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H12	Flagged	H12	jimmy161209	Unknown	38.057602		8.8173147E-7						true		true							
H13	Flagged	H13	jimmy161209	Unknown	Undetermined		0.0						true					true				
H14	Flagged	H14	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H15	Flagged	H15	jimmy161209	Unknown	Undetermined		0.0						true					true				
H16	Flagged	H16	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H17	Flagged	H17	jimmy161209	Unknown	30.732368		6.368457E-5						true									
H18	Flagged	H18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H19	Flagged	H19	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H20	Flagged	H20	jimmy161209	Unknown	Undetermined		0.0						true		true							
H21	Flagged	H21	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H22	Flagged	H22	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
H23	Flagged	H23	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
H24	Flagged	H24	jimmy161209	Unknown	Undetermined		0.0						true		true							
I1	Passed	I1	jimmy161209	Standard	30.90608		1.0E-4															
I2	Flagged	I2	jimmy161209	Unknown	41.8656		9.530119E-8						true		true							
I3	Passed	I3	jimmy161209	Standard	30.046074		1.0E-4															
I4	Flagged	I4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
I5	Passed	I5	jimmy161209	Standard	30.031885		1.0E-4															
I6	Flagged	I6	jimmy161209	Unknown	11.071316		6.2059803						true		true							
I7	Flagged	I7	jimmy161209	Unknown	Undetermined		0.0								true			true				
I8	Flagged	I8	jimmy161209	Unknown	38.096848		8.617436E-7						true		true							
I9	Flagged	I9	jimmy161209	Unknown	Undetermined		0.0								true			true				
I10	Flagged	I10	jimmy161209	Unknown	13.192196		1.7974644						true		true							
I11	Flagged	I11	jimmy161209	Unknown	Undetermined		0.0								true			true				
I12	Flagged	I12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
I13	Flagged	I13	jimmy161209	Unknown	Undetermined		0.0								true			true				
I14	Flagged	I14	jimmy161209	Unknown	3.0713263		664.8445						true		true							
I15	Flagged	I15	jimmy161209	Unknown	Undetermined		0.0								true			true				
I16	Flagged	I16	jimmy161209	Unknown	27.051317		5.470918E-4						true		true							
I17	Flagged	I17	jimmy161209	Unknown	Undetermined		0.0								true			true				
I18	Flagged	I18	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
I19	Flagged	I19	jimmy161209	Unknown	Undetermined		0.0								true			true				
I20	Flagged	I20	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
I21	Flagged	I21	jimmy161209	Unknown	Undetermined		0.0								true			true				
I22	Flagged	I22	jimmy161209	Unknown	31.12146		5.0734867E-5						true		true							
I23	Flagged	I23	jimmy161209	Unknown	Undetermined		0.0								true			true				
I24	Flagged	I24	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J1	Flagged	J1	jimmy161209	Unknown	Undetermined		0.0						true					true				
J2	Flagged	J2	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J3	Flagged	J3	jimmy161209	Unknown	Undetermined		0.0						true								true	
J4	Flagged	J4	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
J5	Flagged	J5	jimmy161209	Unknown	32.643337		2.0851949E-5						true									
J6	Flagged	J6	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
J7	Flagged	J7	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J8	Flagged	J8	jimmy161209	Unknown	Undetermined		0.0						true		true							
J9	Flagged	J9	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
J10	Flagged	J10	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J11	Flagged	J11	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J12	Flagged	J12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J13	Flagged	J13	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J14	Flagged	J14	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J15	Flagged	J15	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J16	Flagged	J16	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J17	Flagged	J17	jimmy161209	Unknown	37.7354		1.0643661E-6						true									
J18	Flagged	J18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J19	Flagged	J19	jimmy161209	Unknown	17.04448		0.18931523						true		true							
J20	Flagged	J20	jimmy161209	Unknown	26.168407		9.164079E-4						true		true							
J21	Flagged	J21	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
J22	Flagged	J22	jimmy161209	Unknown	32.799362		1.9035191E-5						true		true							
J23	Flagged	J23	jimmy161209	Unknown	33.185608		1.5189779E-5						true		true							
J24	Flagged	J24	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
K1	Passed	K1	jimmy161209	Standard	34.258846		1.0E-5															
K2	Flagged	K2	jimmy161209	Unknown	Undetermined		0.0						true		true			true			true	
K3	Passed	K3	jimmy161209	Standard	34.13988		1.0E-5															
K4	Flagged	K4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
K5	Passed	K5	jimmy161209	Standard	32.44495		1.0E-5															
K6	Flagged	K6	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
K7	Flagged	K7	jimmy161209	Unknown	Undetermined		0.0								true			true				
K8	Flagged	K8	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
K9	Flagged	K9	jimmy161209	Unknown	Undetermined		0.0								true			true				
K10	Flagged	K10	jimmy161209	Unknown	6.92787		69.84967						true		true							
K11	Flagged	K11	jimmy161209	Unknown	Undetermined		0.0								true			true				
K12	Flagged	K12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
K13	Passed	K13	jimmy161209	Unknown	34.06929		9.064146E-6															
K14	Flagged	K14	jimmy161209	Unknown	12.72994		2.3547919						true		true							
K15	Passed	K15	jimmy161209	Unknown	34.878143		5.650528E-6															
K16	Flagged	K16	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
K17	Passed	K17	jimmy161209	Unknown	33.347874		1.38158775E-5															
K18	Flagged	K18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
K19	Flagged	K19	jimmy161209	Unknown	Undetermined		0.0								true			true				
K20	Flagged	K20	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
K21	Flagged	K21	jimmy161209	Unknown	Undetermined		0.0								true			true				
K22	Flagged	K22	jimmy161209	Unknown	4.1313133		357.89844						true		true							
K23	Flagged	K23	jimmy161209	Unknown	Undetermined		0.0								true			true				
K24	Flagged	K24	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
L1	Flagged	L1	jimmy161209	Unknown	35.588764		3.7305845E-6						true									
L2	Flagged	L2	jimmy161209	Unknown	Undetermined		0.0						true		true							
L3	Flagged	L3	jimmy161209	Unknown	Undetermined		0.0						true					true				
L4	Flagged	L4	jimmy161209	Unknown	2.1175888		1160.701						true		true							
L5	Flagged	L5	jimmy161209	Unknown	Undetermined		0.0						true					true				
L6	Flagged	L6	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
L7	Flagged	L7	jimmy161209	Unknown	6.15981		109.4085						true		true							
L8	Flagged	L8	jimmy161209	Unknown	11.006421		6.4457974						true		true							
