SDS 2.3	Multicomponent	1.0
Well	Time	Temp	Cycle	Step	Repeat	FAM	ROX	BKGND - A1	mse/chan
1	3937	60.0	1	1	11	5559.1445	2784.3354	656.1377	75.88683
1	3955	60.0	1	1	11	5532.923	2755.15	676.2598	76.86271
1	4019	95.1	1	0	12	2652.098	2115.0938	963.116	78.52242
1	4097	60.1	1	1	12	5531.201	2765.3335	671.9851	73.16595
1	4114	60.0	1	1	12	5494.283	2728.3496	678.55884	69.32396
1	4132	60.0	1	1	12	5517.296	2758.0967	680.46124	74.85056
1	4149	60.0	1	1	12	5475.0005	2722.0513	686.846	77.03436
1	4166	60.0	1	1	12	5433.36	2711.2422	703.8714	76.954
1	4183	60.0	1	1	12	5489.6445	2730.9805	689.4556	72.98896
1	4201	60.0	1	1	12	5466.0063	2727.278	675.24634	71.38455
1	4263	95.1	1	0	13	2616.298	2058.7095	986.1825	79.711586
1	4343	60.0	1	1	13	5489.9473	2726.425	686.1751	68.55025
1	4361	60.0	1	1	13	5436.841	2710.7273	693.83325	69.177605
1	4378	60.0	1	1	13	5441.3677	2709.8057	699.9569	75.29374
1	4395	60.0	1	1	13	5424.8394	2692.8555	715.4602	66.72202
1	4412	60.0	1	1	13	5483.1133	2743.1702	669.4387	70.33219
1	4430	60.0	1	1	13	5505.2793	2735.8857	658.4692	79.88496
1	4447	60.0	1	1	13	5470.261	2714.7114	691.67584	71.19053
1	4511	95.0	1	0	14	2613.4834	2043.8701	979.07263	80.135315
1	4591	60.1	1	1	14	5486.4883	2706.0986	676.5735	76.732506
1	4609	60.0	1	1	14	5464.416	2702.0088	673.66724	70.5064
1	4626	60.0	1	1	14	5496.2773	2730.0735	672.9924	67.63526
1	4643	60.0	1	1	14	5463.7603	2703.6235	677.1551	76.0627
1	4660	60.0	1	1	14	5497.4277	2709.8408	678.6089	74.97599
1	4678	60.0	1	1	14	5501.2075	2717.5205	684.1296	74.090294
1	4695	60.0	1	1	14	5455.6313	2711.0098	676.5553	71.67139
1	4760	95.0	1	0	15	2637.3623	2043.5784	975.703	74.90466
1	4840	60.0	1	1	15	5442.687	2665.4692	696.03754	76.92395
1	4857	60.0	1	1	15	5527.942	2704.5125	670.9004	64.02877
1	4874	60.0	1	1	15	5444.5215	2661.9976	689.0728	67.85851
1	4891	60.0	1	1	15	5470.013	2680.603	685.09216	74.66563
1	4909	60.0	1	1	15	5438.781	2647.699	701.25165	68.448364
1	4926	60.0	1	1	15	5442.7	2653.5586	715.6907	67.822426
1	4943	60.0	1	1	15	5472.699	2689.685	676.8663	79.890564
1	5008	95.0	1	0	16	2676.7734	2054.8284	957.869	74.74225
1	5088	60.0	1	1	16	5586.1562	2710.543	655.7253	70.30427
1	5105	60.0	1	1	16	5543.618	2684.5537	680.135	74.38083
1	5122	60.0	1	1	16	5609.544	2718.908	663.05383	68.29665
1	5139	60.0	1	1	16	5592.863	2677.185	694.80176	69.89125
1	5157	60.0	1	1	16	5567.5156	2684.8306	688.93585	69.92042
1	5174	60.0	1	1	16	5620.097	2703.1997	668.9031	69.949135
1	5191	60.0	1	1	16	5604.999	2702.9036	672.05426	78.73984
1	5254	95.1	1	0	17	2744.1892	2054.9414	963.72473	84.10553
1	5334	60.0	1	1	17	5748.7124	2706.7754	663.7643	67.45534
1	5351	60.0	1	1	17	5743.7646	2676.0828	695.8103	67.49126
1	5368	60.0	1	1	17	5779.9014	2717.1338	652.4664	70.88036
1	5385	60.0	1	1	17	5788.1045	2716.5217	655.52856	79.17167
1	5403	60.0	1	1	17	5790.089	2706.486	654.47736	76.05766
1	5420	60.0	1	1	17	5780.584	2719.7097	655.4805	84.58374
1	5437	60.0	1	1	17	5755.3257	2686.3276	673.6274	79.723114
1	5502	95.0	1	0	18	2808.8489	2000.2589	998.50464	82.39213
1	5582	60.0	1	1	18	5991.3604	2676.216	663.1409	66.099045
1	5599	60.0	1	1	18	6024.35	2683.7314	648.793	75.00681
