plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
K,14,436,,sample,2,K14
K,15,436,,sample,3,K15
K,16,489,,sample,1,K16
K,17,489,,sample,2,K17
K,18,489,,sample,3,K18
K,19,566,,sample,1,K19
K,20,566,,sample,2,K20
K,21,566,,sample,3,K21
K,22,587,,sample,1,K22
K,23,587,,sample,2,K23
K,24,587,,sample,3,K24
L,1,004,,sample,1,L1
L,2,004,,sample,2,L2
L,3,004,,sample,3,L3
L,4,093,,sample,1,L4
L,5,093,,sample,2,L5
L,6,093,,sample,3,L6
L,7,255,,sample,1,L7
L,8,255,,sample,2,L8
L,9,255,,sample,3,L9
L,10,359,,sample,1,L10
L,11,359,,sample,2,L11
L,12,359,,sample,3,L12
L,13,437,,sample,1,L13
L,14,437,,sample,2,L14
L,15,437,,sample,3,L15
L,16,490,,sample,1,L16
L,17,490,,sample,2,L17
L,18,490,,sample,3,L18
L,19,567,,sample,1,L19
L,20,567,,sample,2,L20
L,21,567,,sample,3,L21
L,22,588,,sample,1,L22
L,23,588,,sample,2,L23
L,24,588,,sample,3,L24
M,1,007,,sample,1,M1
M,2,007,,sample,2,M2
M,3,007,,sample,3,M3
M,4,094,,sample,1,M4
M,5,094,,sample,2,M5
M,6,094,,sample,3,M6
M,7,256,,sample,1,M7
M,8,256,,sample,2,M8
M,9,256,,sample,3,M9
M,10,360,,sample,1,M10
M,11,360,,sample,2,M11
M,12,360,,sample,3,M12
M,13,439,,sample,1,M13
M,14,439,,sample,2,M14
M,15,439,,sample,3,M15
M,16,491,,sample,1,M16
M,17,491,,sample,2,M17
M,18,491,,sample,3,M18
M,19,568,,sample,1,M19
M,20,568,,sample,2,M20
M,21,568,,sample,3,M21
M,22,589,,sample,1,M22
M,23,589,,sample,2,M23
M,24,589,,sample,3,M24
N,1,008,,sample,1,N1
N,2,008,,sample,2,N2
N,3,008,,sample,3,N3
N,4,096,,sample,1,N4
N,5,096,,sample,2,N5
N,6,096,,sample,3,N6
N,7,264,,sample,1,N7
N,8,264,,sample,2,N8
N,9,264,,sample,3,N9
N,10,363,,sample,1,N10
N,11,363,,sample,2,N11
N,12,363,,sample,3,N12
N,13,446,,sample,1,N13
N,14,446,,sample,2,N14
N,15,446,,sample,3,N15
N,16,492,,sample,1,N16
N,17,492,,sample,2,N17
N,18,492,,sample,3,N18
N,19,569,,sample,1,N19
N,20,569,,sample,2,N20
N,21,569,,sample,3,N21
N,22,590,,sample,1,N22
N,23,590,,sample,2,N23
N,24,590,,sample,3,N24
O,1,009,,sample,1,O1
O,2,009,,sample,2,O2
O,3,009,,sample,3,O3
