"","Task","Ct","Quantity","template_name","template_conc","QuantBackCalc","Mean","Median","SD","X.025","X.05","X.25","X.75","X.95","X.975","year","month","day","site_name","exp.Mean"
"193","Unknown",38.09498,0.00158868066666667,"002",NA,1.6681147,0.502932036035258,0.510999268702415,0.456915758628678,-0.410314036113098,-0.262194192406925,0.20046216723582,0.81481427559025,1.24070728780262,1.37586362026013,2016,5,31,"Strawberry Point North",1.65356247470196
"194","Unknown",NA,0,"359",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,3,21,"Turners Spit N",0
"195","Unknown",37.598896,0.00192311752380952,"359",NA,2.0192734,0.694400608655664,0.701823465374907,0.453938100116977,-0.212249994649767,-0.0646125325235134,0.394449355156076,1.00351945409708,1.42795588788324,1.56306761680228,2017,3,21,"Turners Spit N",2.00250842793005
"196","Unknown",38.145054,0.0015583380952381,"359",NA,1.636255,0.483605475804743,0.491758081841287,0.457225351219117,-0.430364443223767,-0.282518732559276,0.180932292239681,0.795603034698926,1.22171149875544,1.35671102406995,2017,3,21,"Turners Spit N",1.62191163602794
"197","Unknown",NA,0,"437",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,4,17,"Lone Tree Point",0
"198","Unknown",NA,0,"437",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,4,17,"Lone Tree Point",0
"199","Unknown",38.753124,0.00123299857142857,"437",NA,1.2946485,0.24891478843468,0.258423981066506,0.461114984172463,-0.673968973691717,-0.5245068626812,-0.0559909299235857,0.563888071005268,0.99161238802858,1.12863818765571,2017,4,17,"Lone Tree Point",1.28263273327014
"200","Unknown",NA,0,"489",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,5,17,"Strawberry Point North",0
"201","Unknown",39.000847,0.00112080838095238,"489",NA,1.1768488,0.153303623359319,0.162965996992657,0.462767651241843,-0.772768155300554,-0.622886376442945,-0.152746276008575,0.469515544345216,0.898057263000347,1.03550123297581,2017,5,17,"Strawberry Point North",1.16567885254697
"202","Unknown",NA,0,"489",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,5,17,"Strawberry Point North",0
"203","Unknown",35.054893,0.00512256066666667,"566",NA,5.3786887,1.67628396540983,1.68163230481106,0.441322386094307,0.800004666859179,0.943643390378091,1.38317697942715,1.97624574187264,2.3924625663491,2.52752088049418,2017,6,19,"Strawberry Point North",5.34565437994001
"204","Unknown",38.027035,0.00163079780952381,"002",NA,1.7123377,0.529156087136874,0.537212398761135,0.456498308166287,-0.383626167067142,-0.235324129375709,0.22698717040842,0.840590319802912,1.26663123074652,1.40165712254789,2016,5,31,"Strawberry Point North",1.69749916259996
"205","Unknown",34.867867,0.00550512447619048,"566",NA,5.7803807,1.74846851734641,1.75322199640482,0.440576651370189,0.873338828936842,1.01729772821512,1.4557206641608,2.0476410265418,2.46320839635481,2.59890584379007,2017,6,19,"Strawberry Point North",5.74579634692045
"206","Unknown",34.5217,0.00629017619047619,"566",NA,6.604685,1.88207512707034,1.88689515694947,0.439264052146617,1.01075563366285,1.15398725891625,1.58972447364226,2.18039569459582,2.59502245381362,2.73076645024001,2017,6,19,"Strawberry Point North",6.5671183374967
"207","Unknown",39.99103,0.000765462952380952,"587",NA,0.8037361,-0.228867391313584,-0.219275698797375,0.469756696503463,-1.17167917862435,-1.01601009172902,-0.539369857014749,0.0921284483092203,0.526088379388289,0.66393751323482,2017,6,21,"Turners Spit N",0.795434007970451
"208","Unknown",NA,0,"587",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,6,21,"Turners Spit N",0
"209","Unknown",38.774334,0.00122296876190476,"587",NA,1.2841172,0.240728577177555,0.25015176839824,0.461254956599561,-0.682348577965434,-0.532877167176553,-0.0643263388729825,0.555844145208639,0.983699428803712,1.1207511577966,2017,6,21,"Turners Spit N",1.2721756909265
"210","Unknown",38.19216,0.00153032228571429,"002",NA,1.6068384,0.46542444480625,0.473821645679403,0.457518093427965,-0.449008602971674,-0.301066367939841,0.162657937998026,0.777666109354269,1.20392550952908,1.33908743644652,2016,5,31,"Strawberry Point North",1.59269005446472
"211","Unknown",35.091927,0.00505002438095238,"113",NA,5.3025256,1.66199032336851,1.66740893573126,0.441473080321801,0.785378016686295,0.929246637972259,1.36878097552984,1.96219276375985,2.37845898111802,2.51355089811313,2016,6,15,"Strawberry Point North",5.26978899772054
"212","Unknown",35.128365,0.00497965495238095,"113",NA,5.2286377,1.64792671347756,1.65350689622736,0.44162232378911,0.771055963695178,0.914908130769509,1.35470371572922,1.94818383676014,2.36469404472444,2.49966583517393,2016,6,15,"Strawberry Point North",5.19619544949707
"213","Unknown",36.248867,0.00323442095238095,"113",NA,3.396142,1.21545777967137,1.22173507889878,0.4466781168963,0.32576187681783,0.470767329090503,0.919575864538976,1.51989701101366,1.93886156240379,2.07478962823173,2016,6,15,"Strawberry Point North",3.37183726962786
