date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box
2016-06-08,0821,water-marine,Ika Upper,Jimmy O'Donnell,28,,1,,Jimmy O'Donnell,1312,,057,,1.4,
2016-06-08,0822,water-marine,Ika Upper,Jimmy O'Donnell,03,,2,,Jimmy O'Donnell,1313,,058,,1.4,
2016-06-08,0823,water-marine,Ika Upper,Jimmy O'Donnell,24,,3,,Jimmy O'Donnell,1314,,059,,1.4,
2016-06-08,0828,water-marine,Ika Upper,Jimmy O'Donnell,07,,4,,Jimmy O'Donnell,1340,,060,forceps used to handle filter were possibly not clean,1.4,
2016-06-08,0829,water-marine,Ika Upper,Jimmy O'Donnell,17,,5,,Jimmy O'Donnell,1341,,061,forceps used to handle filter were possibly not clean,1.4,
2016-06-08,0830,water-marine,Ika Upper,Jimmy O'Donnell,45,,6,,Jimmy O'Donnell,1342,,062,forceps used to handle filter were possibly not clean,1.4,
2016-06-08,0835,water-marine,Ika Lower,Jimmy O'Donnell,05,,1,,Jimmy O'Donnell,1411,,063,forceps used to handle filter were definitely not clean,1.4,
2016-06-08,0837,water-marine,Ika Lower,Jimmy O'Donnell,46,,2,,Jimmy O'Donnell,1411,,064,forceps used to handle filter were definitely not clean,1.4,
2016-06-08,0838,water-marine,Ika Lower,Jimmy O'Donnell,14,,3,,Jimmy O'Donnell,1411,,065,forceps used to handle filter were definitely not clean,1.4,
2016-06-08,0839,water-marine,Ika Lower,Jimmy O'Donnell,43,,4,,Jimmy O'Donnell,1500,,067,forceps used to handle filter were definitely not clean,1.4,
2016-06-08,0841,water-marine,Ika Lower,Jimmy O'Donnell,08,,5,,Jimmy O'Donnell,1500,,068,forceps used to handle filter were definitely not clean,1.4,
2016-06-08,0842,water-marine,Ika Lower,Jimmy O'Donnell,38,,6,,Jimmy O'Donnell,1500,,069,forceps used to handle filter were definitely not clean,1.4,
2016-06-08,0852,water-marine,Cattail,Jimmy O'Donnell,04,,1,,Jimmy O'Donnell,1532,,070,,1.4,
2016-06-08,0854,water-marine,Cattail,Jimmy O'Donnell,36,,2,,Jimmy O'Donnell,1533,,071,,1.4,
2016-06-08,0855,water-marine,Cattail,Jimmy O'Donnell,15,,3,,Jimmy O'Donnell,1534,,072,,1.4,
2016-06-08,0856,water-marine,Cattail,Jimmy O'Donnell,48,,4,,Jimmy O'Donnell,1607,,073,,1.4,
2016-06-08,0858,water-marine,Cattail,Jimmy O'Donnell,47,,5,,Jimmy O'Donnell,1607,,074,,1.4,
2016-06-08,0859,water-marine,Cattail,Jimmy O'Donnell,42,,6,,Jimmy O'Donnell,1607,,075,,1.4,
2016-06-08,0927,water-marine,Grain of Sand,Jimmy O'Donnell,40,,1,,Jimmy O'Donnell,1632,,076,,1.4,
2016-06-08,0928,water-marine,Grain of Sand,Jimmy O'Donnell,34,,2,,Jimmy O'Donnell,1632,,077,,1.4,
2016-06-08,0929,water-marine,Grain of Sand,Jimmy O'Donnell,12,,3,,Jimmy O'Donnell,1632,,078,,1.4,
2016-06-08,0930,water-marine,Grain of Sand,Jimmy O'Donnell,33,,4,,Jimmy O'Donnell,1710,,079,,1.4,
2016-06-08,0932,water-marine,Grain of Sand,Jimmy O'Donnell,26,,5,,Jimmy O'Donnell,1711,,081,,1.4,
2016-06-08,0933,water-marine,Grain of Sand,Jimmy O'Donnell,29,,6,,Jimmy O'Donnell,1712,,080,,1.4,
2016-06-08,,water-deionized,,Jimmy O'Donnell,deionized water,,1,,Jimmy O'Donnell,1440,,066,forceps used to handle filter were definitely not clean,1.4,
2016-06-13,0931,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",35,after seine 1,1,,"Ole Shelton, LM, LB, Jimmy Kralj",1253,,083,filtered at site,1.4,
2016-06-13,0932,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",34,after seine 1,2,,"Ole Shelton, LM, LB, Jimmy Kralj",1240,,082,filtered at site,1.4,
2016-06-13,0934,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",38,after seine 1,3,,"Ole Shelton, LM, LB, Jimmy Kralj",1304,,084,filtered at site,1.4,
2016-06-13,0941,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",12,after seine 2,4,,Jimmy Kralj,,,085,solids made it past membrane,1.4,
2016-06-13,0943,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",39,after seine 2,5,,Jimmy Kralj,,,086,,1.4,
2016-06-13,0945,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",23,after seine 2,6,,Jimmy Kralj,,,087,,1.4,
2016-06-13,0947,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",08,after seine 2,7,,Jimmy Kralj,,,088,,1.4,
