date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box,EXTRACT
6/13/16,1144,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",28,after seine 1,3,,Jimmy Kralj,,,98,,1.4,,
6/13/16,1152,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",7,after seine 2,4,,Jimmy Kralj,1820,,99,solids made it past membrane,1.4,,
6/13/16,1153,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",4,after seine 2,5,,Jimmy Kralj,,,100,solids made it past membrane,1.4,,
6/13/16,1154,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",14,after seine 2,6,,Jimmy Kralj,,,101,,1.4,,
6/13/16,1155,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",33,after seine 2,7,,,,,,did not filter,,,
6/13/16,1330,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",1,after seine 1,1,,Jimmy Kralj,,,102,,1.4,,
6/13/16,1331,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",26,after seine 1,2,,Jimmy Kralj,,,103,,1.4,,
6/13/16,1332,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",3,after seine 1,3,,Jimmy Kralj,,,104,,1.4,,
6/13/16,1334,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",24,after seine 2,4,,Jimmy Kralj,,,105,,1.4,,
6/13/16,1335,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",11,after seine 2,5,,Jimmy Kralj,,,106,,1.4,,
6/13/16,1336,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",43,after seine 2,6,,,,,,did not filter,,,
6/13/16,1401,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",20,after seine 1,1,,Jimmy Kralj,,,107,,1.4,,
6/13/16,1402,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",32,after seine 1,2,,Jimmy Kralj,,,108,,1.4,,
6/13/16,1403,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",40,after seine 1,3,,Jimmy Kralj,,,109,,1.4,,
6/13/16,1411,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",42,after seine 2,4,,Jimmy Kralj,,,110,,1.4,,
6/13/16,1413,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",44,after seine 2,5,,Jimmy Kralj,,,111,,1.4,,
6/13/16,1414,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",37,after seine 2,6,,Jimmy Kralj,,,112,,1.4,,
6/13/16,1415,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",27,after seine 2,7,,,,,,did not filter,,,
6/13/16,,water-deionized,,"Ole Shelton, LM, LB, Jimmy Kralj",deionized water,,1,,Jimmy Kralj,,,95,,1.4,,
6/15/16,907,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",20,after seine 1,1,,Jimmy O'Donnell,,,113,,1.4,,
6/15/16,907,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",39,after seine 1,2,,Jimmy O'Donnell,,,114,,1.4,,
6/15/16,908,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",23,after seine 1,3,,Jimmy O'Donnell,,,115,,1.4,,
6/15/16,909,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",7,after seine 1,4,,Jimmy O'Donnell,1620,,119,,1.4,,
6/15/16,909,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",4,after seine 1,5,,Jimmy O'Donnell,,,117,,1.4,,
6/15/16,910,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",47,after seine 1,6,,Jimmy O'Donnell,,,118,,1.4,,
6/15/16,1000,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",31,,1,,Jimmy O'Donnell,,,116,,1.4,,
6/15/16,1001,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",1,,2,,Jimmy O'Donnell,,,121,,1.4,,
6/15/16,1001,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",11,,3,,Jimmy O'Donnell,,,122,,1.4,,
6/15/16,1007,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",24,,4,,Jimmy O'Donnell,,,123,,1.4,,
6/15/16,1008,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",37,,5,,Jimmy O'Donnell,,,124,,1.4,,
6/15/16,1008,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",43,,6,,Jimmy O'Donnell,,,125,,1.4,,
6/15/16,1116,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",8,,1,,Jimmy O'Donnell,,,126,,1.4,,
6/15/16,1117,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",42,,2,,Jimmy O'Donnell,,,127,"piece of filter broke, dropped, added back in",1.4,,
6/15/16,1117,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",32,,3,,Jimmy O'Donnell,,,128,,1.4,,
6/15/16,1118,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",41,,4,,Jimmy O'Donnell,,,129,,1.4,,
6/15/16,1118,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",44,,5,,Jimmy O'Donnell,,,130,,1.4,,
6/15/16,1119,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",27,,6,,Jimmy O'Donnell,1812,,131,,1.4,,
6/15/16,1203,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",33,,1,,Jimmy O'Donnell,1827,,132,,1.4,,
6/15/16,1204,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",48,,2,,Jimmy O'Donnell,1829,,133,,1.4,,
6/15/16,1205,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",17,,3,,Jimmy O'Donnell,,,134,,1.4,,
6/15/16,1217,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",26,,4,,Jimmy O'Donnell,1841,,135,,1.4,,
6/15/16,1218,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",12,,5,,Jimmy O'Donnell,,,136,smudged filter with finger,1.4,,
