SDS 2.3	Multicomponent	1.0
Well	Time	Temp	Cycle	Step	Repeat	FAM	ROX	BKGND - A1	mse/chan
1	5621	60.0	1	1	18	5833.814	2596.127	729.23096	75.26533
1	5638	60.0	1	1	18	5812.088	2575.76	730.0327	67.66384
1	5656	60.0	1	1	18	5795.3657	2581.9924	718.0099	73.67745
1	5673	60.0	1	1	18	5813.4727	2568.0254	736.26605	71.709656
1	5690	60.0	1	1	18	5834.276	2586.6653	721.1382	66.516594
1	5753	95.1	1	0	19	2965.7175	1969.1527	1002.824	78.20773
1	5833	60.1	1	1	19	6146.319	2566.976	712.8467	70.89066
1	5850	60.0	1	1	19	6303.545	2621.49	689.3711	75.016106
1	5867	60.0	1	1	19	6348.083	2650.625	676.1176	70.638435
1	5885	60.0	1	1	19	6291.641	2602.3706	678.3536	74.54649
1	5902	60.0	1	1	19	6275.694	2610.5283	700.8049	78.13955
1	5919	60.0	1	1	19	6267.8794	2606.3994	684.0263	75.85456
1	5936	60.0	1	1	19	6216.4424	2585.9985	693.014	65.49688
1	5999	95.0	1	0	20	3341.939	2012.5492	962.23175	85.58461
1	6079	60.0	1	1	20	6801.499	2616.5251	670.22797	70.06443
1	6096	60.0	1	1	20	6846.6235	2612.7852	676.0155	74.00823
1	6113	60.0	1	1	20	6889.75	2622.4368	671.3305	76.02239
1	6131	60.0	1	1	20	6838.2324	2588.84	675.38153	72.172165
1	6148	60.0	1	1	20	6888.263	2615.9832	647.1435	80.16097
1	6165	60.0	1	1	20	6851.0986	2599.6501	657.9694	81.80362
1	6182	60.0	1	1	20	6812.33	2571.2292	691.8715	76.937515
1	6247	95.0	1	0	21	3769.0894	2023.6598	952.0507	86.4563
1	6327	60.1	1	1	21	7400.733	2579.2637	652.807	70.36525
1	6344	60.0	1	1	21	7531.812	2579.5964	661.98376	83.95467
1	6361	60.0	1	1	21	7582.8794	2629.3022	627.66327	77.2465
1	6379	60.0	1	1	21	7572.752	2579.3608	676.8989	83.6838
1	6396	60.0	1	1	21	7591.051	2625.612	622.8306	82.08336
1	6413	60.0	1	1	21	7494.991	2554.7598	658.4027	77.067215
1	6430	60.0	1	1	21	7567.698	2603.1816	626.18616	79.55421
1	6495	95.1	1	0	22	4298.8726	2008.8373	941.5222	90.79652
1	6575	60.1	1	1	22	8201.847	2597.9998	640.5521	79.88428
1	6592	60.0	1	1	22	8315.859	2629.234	593.04315	83.17218
1	6610	60.0	1	1	22	8309.883	2626.5767	593.38043	74.86675
1	6627	60.0	1	1	22	8316.772	2637.3506	591.1614	84.17452
1	6644	60.0	1	1	22	8325.992	2620.1062	583.51056	86.06281
1	6661	60.0	1	1	22	8308.441	2622.0894	596.70404	83.93238
1	6679	60.0	1	1	22	8272.877	2597.9692	603.2745	82.55377
1	6743	95.0	1	0	23	4796.862	2004.7375	937.9284	103.20919
1	6823	60.1	1	1	23	8963.341	2656.2192	538.3023	83.405495
1	6840	60.0	1	1	23	8975.608	2624.0562	560.9965	88.45177
1	6858	60.0	1	1	23	9093.945	2644.0244	555.1109	92.58262
1	6875	60.0	1	1	23	9014.349	2611.7195	569.9175	77.5124
1	6892	60.0	1	1	23	8958.061	2598.0486	584.6093	89.21381
1	6909	60.0	1	1	23	9025.938	2608.1833	575.46967	82.50007
1	6927	60.0	1	1	23	8974.305	2602.7715	594.6772	86.566864
1	6989	95.1	1	0	24	5311.7197	2004.6321	914.1202	98.37103
1	7068	60.1	1	1	24	9543.778	2619.3862	552.06433	85.98372
1	7086	60.0	1	1	24	9646.219	2597.3247	571.1767	88.918785
1	7103	60.0	1	1	24	9723.091	2645.7913	552.0173	91.020546
1	7120	60.0	1	1	24	9694.14	2641.0847	537.18475	86.901146
1	7137	60.0	1	1	24	9624.0625	2628.4492	526.0626	94.00543
1	7155	60.0	1	1	24	9642.66	2617.332	548.7606	90.03057
1	7172	60.0	1	1	24	9633.895	2621.3223	541.59845	89.48158
1	7234	95.0	1	0	25	5727.7915	1975.6448	943.51184	107.453224
